Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Ghana,GHA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.79537,67.9238,62.47613,66.49101,65.83247,..,70.60912,72.72937,78.03132,83.63321,84.10467,..,92.02687,91.21756,..,..,..,..,85.74174,85.00771,86.69982,..,..
Ghana,GHA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..,1187,..,..,..,..
Ghana,GHA,Population density (people per sq. km of land area),EN.POP.DNST,40.5627142480443,41.7225630658346,42.8456447218072,43.8865518150655,44.8236090357739,45.6862661510064,46.5424320998506,47.4875538366881,48.589751252527,49.8738111980311,51.3176935923354,52.885466291641,54.520783159005,56.1818449503384,57.8572514722686,59.5588511909994,61.294923969412,63.0808165597258,64.9260525621869,66.83378746594,68.7938164718291,70.7864814977586,72.7857827195218,74.7739210688231,76.7447657554716,78.7069394392195,80.676623890305,82.6771952184231,84.7273006943834,86.8283774281445,88.9794146084205,91.1941109255516,93.4883009580733,95.8717060736574,98.3521886261756,100.922677331458,103.559075327415,106.227225982245,108.902232574492,111.57472532302,114.250039553485,116.936103542234,119.647007119627,122.392559549969,125.1733629252,127.983932495385,130.821429199262,133.681365913686,136.560363013097,139.456798804606
Ghana,GHA,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.01488829,7.19382238,6.10158062,6.33220148,4.905725,10.60201263,9.55574703,9.13427639,9.89629269,12.35699654,11.91590691,12.07420349,8.9727478,8.61669731,6.71953726,8.55785656,6.53767872,6.03948355,6.41696167,6.52632332,..,..
Guinea,GIN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.74567652,4.88881445,5.3613739,4.7780695,4.78209734,4.04247189,3.61069894,3.43232441,3.26223779,3.57716823,3.42734981,3.78955078,3.50398302,3.46079683,4.78097677,5.80920601,5.39708233,3.91060591,3.63913226,3.98389959,..,..
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,354.421365033579,351.909045501736,398.546152799461,394.331142350975,419.809870822721,461.375312462986,489.07160407065,475.426316994835,477.762459236542,508.101516144618,518.365662598199,493.82216135084,456.491484139533,429.719692321206,363.482279266615,336.154020658897,343.602631207699,393.739689850048,407.300975937447,322.415540033465,453.403713310942,659.992930975674,715.096526700444,674.085482596146,672.424930359396,651.136113367998,717.050535937992,769.003166697833,787.238564407157,769.255475432822,732.291511901662,855.575270552124,955.111281136711,1058.14336817356,1194.03786469445,..
Guinea,GIN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,24.83169,27.59924,25.54254,23.66751,24.57839,24.47122,23.80892,25.84697,..,..,..,..,..,..,40.86318,43.00455,45.75882,48.92625,55.94373,59.10019,61.84531,63.59582,65.57848,67.55235,66.59745,67.9527,70.28759,74.37522,74.17666,75.47206,79.30492,..,78.08732,..,..,..,..,..
Guinea,GIN,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..,1651,..,..,..,..
Guinea,GIN,Population density (people per sq. km of land area),EN.POP.DNST,17.4611102067394,17.7330172554127,18.0043545498942,18.2779098160508,18.5546109392805,18.8380310923002,19.1371113462478,19.4631735308481,19.8251912746215,20.2246255901026,20.662025883119,21.1437530522546,21.6765790330457,22.264024092463,22.9098974442455,23.6094864072929,24.346752401107,25.0996255901026,25.8517092625753,26.5950512778773,27.3320527429595,28.069229203972,28.817837375875,29.5850195344294,30.3751505778935,31.182121927397,31.9907699820934,32.7801766237994,33.5370950675566,34.2547696565196,34.9425240110695,35.6222407618427,36.3247965163601,37.0730302783656,37.8781580660915,38.7357927722611,39.6337131694612,40.5521325085463,41.4787888653752,42.4078585381735,43.3502848770959,44.3302173205274,45.3807992837376,46.5248901188344,47.7715855445222,49.1108416083347,50.5221064626404,51.9747924466873,53.446166368224,54.9283737587498
Guinea,GIN,Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.38009143,2.47332406,4.39565659,2.85787702,1.85608542,2.37353587,1.87932229,2.77464008,2.67317438,1.60156095,1.76970637,3.18154812,2.56631088,2.62132406,3.02618742,1.97823346,4.11337852,3.46282387,3.85050631,6.14852524,..,..
