,shapeGroup,shapeName,Precipitation,Temperature,Viirs_Average,Viirs_Cloud_Coverage_Count,Viirs_Cloud_Coverage_Sum,PM2.5AirPollution,OzoneAirPollution,Population,supprimer,Year
8,GHA,Northern Region,99.7731596074,28.2304431729,0.0383727228885,116424.214569,116227.612976,29.2305731806,73.8748951401,1599578.84375,29132.0406494,2012
9,GHA,Central Region,92.8460514182,26.6997347305,0.181267847554,47173.230957,47075.5493164,22.1670513977,62.091064486,2352551.0,11817.0195312,2012
10,GHA,Ashanti Region,110.674725278,26.6947903149,0.196707061275,115828.571777,115677.171387,24.3432207281,67.6835293626,5117349.82227,28953.5327148,2012
11,GHA,Bono Region,98.6867065101,26.5944432958,0.0525211889451,55077.0378418,54983.8604431,24.2930572917,69.5119256018,979234.625,13791.9091797,2012
12,GHA,Volta Region,101.708287331,27.3300946899,0.0995839305811,48727.7495117,48639.690918,21.6653022592,69.9529606545,1761127.0,11508.8994141,2012
13,GHA,Upper West Region,88.5090976619,27.7748948314,0.0167543218749,92748.0527344,92651.9287109,28.6927154502,63.5052907849,730639.375,23210.0507812,2012
14,GHA,Upper East Region,89.6456259309,28.573404382,0.0389157571779,41412.2705078,41322.171875,26.640837598,61.5625188964,1074938.625,10371.6289062,2012
15,GHA,Greater Accra Region,71.4495414292,27.0364855098,3.31424253068,15111.0205078,15063.4990234,23.1744104045,64.7301256534,4200039.0,3780.43017578,2012
0,SEN,Dakar,65.275,25.5416666667,5.26431147654,2652.9699707,2630.57006836,37.9554210141,42.9345451049,2832025.5,668.719970703,2012
1,SEN,Diourbel,62.6346770608,27.671186195,0.164790177185,23559.25,23508.7402344,48.3576300046,43.9176940295,1440688.25,5902.10009766,2012
2,SEN,Fatick,79.8953723997,27.4390814732,0.012605400331,34071.4199219,33989.96875,39.4118137726,44.7696027671,715233.4375,8382.390625,2012
3,SEN,Kaffrine,69.1483419726,28.4265148554,0.00277776707986,53347.9183044,53284.640686,37.538420561,45.0498613243,546567.8125,13353.0400391,2012
4,SEN,Kaolack,80.1322577865,27.7697346316,0.0385815503369,25420.5816345,25364.441864,37.1916551661,45.2257107044,923277.9375,6355.0703125,2012
5,SEN,Kolda,92.2268745001,28.3773186129,0.00560534218903,65986.8543261,65894.0700353,34.9213268343,50.2967181884,646990.625,16520.1308594,2012
6,SEN,Louga,51.9331051853,27.9716298578,0.00890463499137,124546.620117,124438.386719,50.0659862409,43.121884706,865618.394531,31153.949707,2012
7,SEN,Matam,58.8327753294,29.499017099,0.00181248382493,139906.9021,139774.453003,47.701897534,44.4800431797,556167.875,35009.3481445,2012
8,SEN,Saint Louis,34.9046957041,28.423556904,0.0149032839781,92489.4511719,92351.5200577,55.5967905684,43.0432793165,854528.375,23027.6015625,2012
9,SEN,Sedhiou,105.014809621,27.6088293197,0.00203776903209,35298.4012756,35246.5962219,31.3008929548,48.5455006881,441649.84375,8650.66015625,2012
10,SEN,Tambacounda,76.4845000451,29.4045744537,0.001544793356,205512.263611,205316.099548,37.3024628893,46.8200649041,671324.102051,51426.8796387,2012
11,SEN,Thies,66.3090000893,26.4243330506,0.163715444313,31942.222168,31870.5822144,41.5861451114,43.3080943434,1704402.75,8000.5,2012
12,SEN,Ziguinchor,114.848078779,26.502206008,0.0112833951356,35323.1210938,35269.1289062,31.9897707959,48.0815387775,531665.375,8553.96972656,2012
13,SEN,Kedougou,105.640229251,29.0488358784,0.00543105738945,80671.4182129,80554.9490967,34.6223694897,52.3038819995,148706.9375,20196.859375,2012
0,CPV,Boa Vista,,,0.065675791648,3090.70996094,3073.0300293,38.4459867754,44.5580888737,10260.2070312,776.079956055,2012
1,CPV,Brava,,,0.064896982736,337.579986572,330.170013428,41.7076851806,42.2100105286,5322.68603516,85.6200027466,2012
2,CPV,Maio,,,0.041866975437,1332.39990234,1320.82006836,49.0627483055,43.7007810914,6571.41992188,335.630004883,2012
3,CPV,Sal,,,0.620555895993,1086.7800293,1073.14001465,40.4418605675,44.9931420832,23040.9726562,275.040008545,2012
4,CPV,São Vicente,18.691666666666663,24.35,0.721347789089,1108.38000488,1095.40002441,39.0959438577,44.0056395469,72483.125,280.229980469,2012
5,CPV,Ribeira Brava,,,0.0154570688928,1115.02001953,1096.43994141,37.8817099328,44.304984214,6901.89746094,283.109985352,2012
6,CPV,Tarrafal de São Nicolau,18.691666666666663,24.35,0.0351334151586,808.930053711,793.059997559,38.520669974,44.2574387008,5082.06835938,206.230010986,2012
7,CPV,Porto Novo,,,0.0281748940314,2749.69995117,2732.50976562,40.0501493897,43.9899680709,6526.15820312,691.679992676,2012
8,CPV,Ribeira Grande,,,0.0647003644774,866.199951172,856.380004883,39.5762499711,44.1909667415,18846.8867188,218.900009155,2012
9,CPV,Paul,,,0.106042570271,254.989990234,249.739990234,35.8184388464,44.2590297945,16456.3613281,65.0099945068,2012
10,CPV,Mosteiros,,,0.0282999903033,411.25,405.960021973,42.6545405536,42.5500106812,5987.58398438,104.169998169,2012
